Temporal_Rep,Mvmt_Trt,Fertilizer_Trt,Leaf_Num,Longest_Lf,Avg_Lf_Dam,RGR
1,N,N,4,6,0,-0.405398332
1,N,N,3,5.95,0,-0.101724986
1,N,N,4,5.75,0,-0.075665383
1,N,N,4,5.58,0,-0.165494592
1,N,N,4,7.5,0,-0.128610701
1,N,N,4,6,0,-0.320527758
1,N,N,3,5.5,0,-0.138957342
1,N,N,4,6.3,0,-0.056431896
1,N,N,4,6.4,0,-0.113121388
1,N,N,4,5.8,0,-0.070017003
1,N,N,3,5.85,0,-0.155855411
1,N,N,4,6.2,0,-0.133167955
1,N,N,4,6.9,0,-0.348400738
1,N,N,4,6.4,0,-0.169919203
1,N,N,3,5.4,0,-0.171678524
1,N,N,4,6.3,0,-0.561224874
1,N,N,4,6.8,0,-0.434459829
1,N,N,5,8.1,0,-1.491572637
1,Y,Y,5,8.6,0,-0.264008142
1,Y,Y,4,10.4,0,0.127012052
1,Y,Y,6,9.5,0.666666667,0.192795369
2,N,Y,5,10.8,0,0.353086972
2,N,Y,4,7.8,0,-0.094603524
2,N,Y,5,9.1,2.4,0.303916396
2,N,Y,5,8.4,1.4,0.082142984
2,N,Y,4,8.5,0,-0.020441746
2,N,Y,5,8.8,0.6,0.124603019
2,N,Y,5,9.2,0.8,0.144868086
2,N,Y,5,9.1,0.6,0.019536981
2,N,Y,5,8.7,0,-0.111650147
2,N,Y,5,9.2,2,0.047620778
2,N,Y,5,9.5,0.6,0.114224067
2,N,Y,5,9.3,4,0.100563409
2,N,Y,6,9.7,0.166666667,-0.014934151
2,N,Y,5,10,0,-0.178852985
2,N,Y,5,10.8,1.6,0.135858314
2,N,Y,6,11.7,0,-0.10491989
2,N,Y,5,9.5,2,0.155214379
2,N,Y,5,9.2,0.8,0.395015692
2,Y,N,4,6.8,2,0.856877685
2,Y,N,4,5.6,1.25,1.066019285
2,Y,N,4,6.6,1.75,0.606822427
3,N,N,4,6,17.75,0.365062173
3,N,N,3,4.6,36.66666667,0.347629111
3,N,N,3,4.6,46.66666667,0.457205074
3,N,N,4,5.6,15.5,0.347293055
3,N,N,4,5.8,39.25,0.492963622
3,N,N,4,5.6,31.25,0.658672664
3,N,N,3,4,31,0.271136701
3,N,N,3,3.9,8.333333333,0.095155186
3,N,N,4,6.2,7.25,0.271612251
3,N,N,3,4.6,9.666666667,0.262621739
3,N,N,4,5.1,26.25,0.539852618
3,N,N,3,4,3,0.067109287
3,N,N,4,5.2,11,0.242286072
3,N,N,3,5,10.33333333,0.219008996
3,N,N,3,5,13.66666667,0.23413102
3,N,N,3,4,41.66666667,0.354739362
3,N,N,4,6.1,40,0.311809658
3,N,N,4,4.8,30,0.380511146
3,Y,Y,5,8.9,2.6,0.256602471
3,Y,Y,4,8.4,2.75,0.416190459
3,Y,Y,5,12.1,5.4,0.411730255
4,Y,N,3,3.8,15.33333333,0.196123287
4,Y,N,3,3.7,37.33333333,0.295369355
4,Y,N,4,4.1,59.25,0.323882062
4,N,Y,4,9,6.5,0.584880001
4,N,Y,4,9.4,3.75,0.597983712
4,N,Y,4,9.6,5.25,0.545827264
4,N,Y,5,9,3.8,0.599882669
4,N,Y,4,9.2,7.5,0.48874922
4,N,Y,5,9.8,4.4,0.536070035
4,N,Y,5,9.9,0.6,-0.013001075
4,N,Y,5,9,4,0.492887363
4,N,Y,5,9.2,4.4,0.457626365
4,N,Y,5,8.3,2.2,0.236215859
4,N,Y,5,9.2,1.2,0.399919654
4,N,Y,5,9.9,3,0.533382044
4,N,Y,5,10.5,3.2,0.527536891
4,N,Y,4,9,5,0.623691428
4,N,Y,5,12,4.4,0.518578418
4,N,Y,5,9.9,3.8,0.509537019
4,N,Y,5,10.1,2.2,0.377538286
4,N,Y,4,10,5.5,0.525203003
5,N,N,4,8.5,10,0.603758143
5,N,N,5,8.7,4.4,0.389822791
5,N,N,5,8.6,6.8,0.436126133
5,N,N,4,7.5,9.75,0.336734462
5,N,N,4,5.8,9.5,0.230184184
5,N,N,4,5.5,9.5,0.414704103
5,N,N,4,8.8,5.5,0.345330137
5,N,N,3,4.2,0,-0.112926423
5,N,N,4,5,29,0.316464811
5,N,N,5,8.3,6.8,0.544797358
5,N,N,3,5.1,21,0.282280444
5,N,N,4,6.5,11.5,0.354805871
5,N,N,4,6.7,25.75,0.453028422
5,N,N,5,8.6,2.6,0.248404397
5,N,N,5,9.5,4.4,0.447747928
5,N,N,4,7.9,6.5,0.395305366
5,N,N,4,7.3,6,0.277789622
5,N,N,4,6.5,8.25,0.294194326
5,Y,Y,3,11.5,1.666666667,0.326271953
5,Y,Y,7,13.4,6.857142857,0.370990581
5,Y,Y,6,14.1,2.833333333,0.410506112
1,N,Y,3,12,1,NA
1,N,Y,4,11.2,0,NA
1,N,Y,4,11.2,2,0.703989354
1,N,Y,6,14.9,2.166666667,0.87924946
1,N,Y,5,10.4,0,NA
1,N,Y,5,9.5,2,NA
1,N,Y,5,11.7,1,0.64888412
1,N,Y,6,10.7,0.333333333,NA
1,N,Y,6,11.5,2.833333333,0.921156922
1,N,Y,5,11.2,4,1.485993721
1,N,Y,7,14.1,0.142857143,NA
1,N,Y,5,11.8,2,0.840254778
1,N,Y,6,11.7,2.5,0.939252826
1,N,Y,6,11.4,0,NA
1,N,Y,5,13.1,0,NA
1,N,Y,6,10.6,0.333333333,1.094740067
1,N,Y,5,12.1,0.2,NA
1,N,Y,6,13,1.333333333,NA
1,Y,N,5,9,0.2,1.853818797
1,Y,N,6,9.8,0,1.140371678
1,Y,N,4,8,0,0.248824415
2,Y,Y,4,4,0,0.055312259
2,Y,Y,4,6.6,4.75,-0.006868488
2,Y,Y,4,5.5,0.75,-0.115535494
4,N,N,4,4.3,2.75,0.302240772
4,N,N,4,4.2,0,NA
4,N,N,4,4.7,0.5,0.41310818
4,N,N,4,5,4.5,0.840161924
4,N,N,4,4.2,0.5,0.391732902
4,N,N,4,4.8,3.25,0.708215271
4,N,N,5,6.4,4.8,0.38113198
4,N,N,3,4.3,3.666666667,0.845135697
4,N,N,4,5.2,4.75,0.315532593
4,N,N,4,5.6,1.5,0.964609309
4,N,N,4,5,6.75,0.398483401
4,N,N,4,4.9,2,0.592051064
4,N,N,3,6.6,7.333333333,0.221351727
4,N,N,3,5,1,0.494748806
4,N,N,5,5.7,1.8,0.227785964
4,N,N,5,6.4,2,1.11194582
4,N,N,4,6,2,0.504879476
4,N,N,4,5.1,3.25,0.29712959
3,N,Y,6,11.1,1.5,-0.32993385
3,N,Y,6,9.5,0.333333333,-0.517863351
3,N,Y,5,9.5,0.4,-0.35170589
3,N,Y,7,9,3.857142857,-0.20966966
3,N,Y,6,9.6,0.5,-0.460779005
3,N,Y,7,9.5,3.714285714,0.2811635
3,N,Y,5,12,0.8,0.602232647
3,N,Y,5,10.8,3,0.832319279
3,N,Y,6,7.8,0,0.054035502
3,N,Y,4,9.1,7.25,0.34811202
3,N,Y,6,8.4,3.833333333,0.789819863
3,N,Y,6,8.5,8.833333333,0.106907754
3,N,Y,6,8.8,5.833333333,0.362533856
3,N,Y,7,9.2,3.857142857,-0.792705696
3,N,Y,6,5.75,7.5,-0.429119723
3,N,Y,8,5.58,10.375,-0.11206686
3,N,Y,7,7.5,1.142857143,-0.68334924
3,N,Y,4,6,6.5,-0.672337579
3,Y,N,5,5.5,5.6,0.174405529
3,Y,N,5,8.1,0.2,0.311984442
3,Y,N,6,6,2.5,0.245974042
4,N,Y,5,10.8,0.4,-0.070478938
4,N,Y,3,8.8,1.666666667,0.230197385
4,N,Y,4,7.9,1,0.354115211
4,N,Y,2,7,1,0.471599092
4,N,Y,6,8.8,1.166666667,0.381070026
4,N,Y,3,6.6,7,0.307461603
4,N,Y,5,10,1.2,0.236584452
4,N,Y,5,8.3,2.8,0.278285823
4,N,Y,5,7.9,1.6,0.266793104
4,N,Y,5,7,0.6,0.366114265
4,N,Y,5,8.6,2.2,0
4,N,Y,4,5.7,1,0.350886618
4,N,Y,2,6.5,1,0.251355995
4,N,Y,6,10.7,2,0.240308915
4,N,Y,7,10,2.714285714,-0.352547377
4,N,Y,4,8.7,0,0.337539293
4,N,Y,6,13.5,0.5,0.250445251
4,N,Y,6,9.8,2.333333333,0.127172826
4,Y,N,6,6.9,1.166666667,0.319792859
4,Y,N,5,6,3,0.317140412
4,Y,N,4,4.5,4.5,0.227281835
